alert_id,alert_no,station,sensor,sensor_type,alert_type,fault_type,lsl,alert_value,hsl,start_time,end_time,duration,status,timelapse,date,remarks,acknowledge
1,A_tightining_3phasecurrent_2023-01-12 16:03:32.125,tightining,3phasecurrent,ms,High limit,Instant,5,11,10,2023-01-12 16:03:32.125, , ,Active,0 Hr 35 Min 42,2023-01-12, , 
2,A_tightining_3phasecurrent_2023-01-12 16:04:34.143,tightining,3phasecurrent,ms,High limit,One minute,5,12,10,2023-01-12 16:04:34.143, , ,Active,0 Hr 35 Min 42,2023-01-12, , 
3,A_tightining_3phasecurrent_2023-01-12 16:22:17.039,tightining,3phasecurrent,ms,High limit,Ten Minute,5,11,10,2023-01-12 16:22:17.039, , ,Active,0 Hr 35 Min 42,2023-01-12, , 
4,A_assembly_fan_running_status_on_off_2023-01-12 16:27:59.370,assembly,fan_running_status_on_off,pt,Low limit,Instant,30,0,50,2023-01-12 16:27:59.370, , ,Active,0 Hr 45 Min 33,2023-01-12, , 
5,A_tightening_drive temperature_2023-01-12 16:28:23.468,tightening,drive temperature,ms,High limit,Instant,10,22,20,2023-01-12 16:28:23.468, , ,Active,0 Hr 45 Min 9,2023-01-12, , 
6,A_assembly_fan_running_status_on_off_2023-01-12 16:29:02.591,assembly,fan_running_status_on_off,pt,Low limit,One minute,30,0,50,2023-01-12 16:29:02.591, , ,Active,0 Hr 45 Min 33,2023-01-12, , 
7,A_tightening_drive temperature_2023-01-12 16:29:23.649,tightening,drive temperature,ms,High limit,One minute,10,28,20,2023-01-12 16:29:23.649, , ,Active,0 Hr 45 Min 9,2023-01-12, , 
9,A_tightening_motor_temperature_2023-01-12 16:30:29.839,tightening,motor_temperature,ms,High limit,Instant,10,87,20,2023-01-12 16:30:29.839, , ,Active,0 Hr 43 Min 3,2023-01-12, , 
10,A_tightening_motor_temperature_2023-01-12 16:31:29.998,tightening,motor_temperature,ms,High limit,One minute,10,38,20,2023-01-12 16:31:29.998, , ,Active,0 Hr 43 Min 3,2023-01-12, , 
11,A_tightening_motor_running_torque_2023-01-12 16:31:42.035,tightening,motor_running_torque,ms,Low limit,Instant,10,1,20,2023-01-12 16:31:42.035, , ,Active,0 Hr 41 Min 50,2023-01-12, , 
12,A_tightening_motor_running_torque_2023-01-12 16:36:35.087,tightening,motor_running_torque,ms,Low limit,One minute,10,0,20,2023-01-12 16:36:35.087, , ,Active,0 Hr 41 Min 50,2023-01-12, , 
13,A_assembly_fan_running_status_on_off_2023-01-12 16:38:02.306,assembly,fan_running_status_on_off,pt,Low limit,Ten Minute,30,1,50,2023-01-12 16:38:02.306, , ,Active,0 Hr 45 Min 33,2023-01-12,remarks entered!,acknowledged
15,A_tightening_drive temperature_2023-01-12 16:38:29.377,tightening,drive temperature,ms,High limit,Ten Minute,10,51,20,2023-01-12 16:38:29.377, , ,Active,0 Hr 45 Min 9,2023-01-12, , 
17,A_tightening_motor_temperature_2023-01-12 16:40:32.703,tightening,motor_temperature,ms,High limit,Ten Minute,10,38,20,2023-01-12 16:40:32.703, , ,Active,0 Hr 43 Min 3,2023-01-12, , 
18,A_op180 - leak testing _st1 motor temperature_2023-01-12 16:40:35.703,op180 - leak testing ,st1 motor temperature,ms,High limit,Instant,10,91,20,2023-01-12 16:40:35.703, , ,Active,0 Hr 58 Min 31,2023-01-12, , 
19,A_op180 - leak testing _st1 motor temperature_2023-01-12 16:41:35.865,op180 - leak testing ,st1 motor temperature,ms,High limit,One minute,10,33,20,2023-01-12 16:41:35.865, , ,Active,0 Hr 58 Min 31,2023-01-12, , 
20,A_tightening_motor_running_torque_2023-01-12 16:41:44.904,tightening,motor_running_torque,ms,Low limit,Ten Minute,10,1,20,2023-01-12 16:41:44.904, , ,Active,0 Hr 41 Min 50,2023-01-12, , 
26,A_op180 - leak testing _st1 motor temperature_2023-01-12 16:50:37.448,op180 - leak testing ,st1 motor temperature,ms,High limit,Ten Minute,10,79,20,2023-01-12 16:50:37.448, , ,Active,0 Hr 58 Min 31,2023-01-12, , 
34,A_tightening_3phase current_2023-01-12 17:04:03.733,tightening,3phase current,pt,Low limit,Instant,30,16,50,2023-01-12 17:04:03.733, , ,Active,0 Hr 9 Min 29,2023-01-12, , 
36,A_tightening_3phase current_2023-01-12 17:07:01.156,tightening,3phase current,pt,Low limit,One minute,30,14,50,2023-01-12 17:07:01.156, , ,Active,0 Hr 9 Min 29,2023-01-12, , 
39,A_tightening_3phase current_2023-01-12 17:14:04.148,tightening,3phase current,pt,Low limit,Ten Minute,30,16,50,2023-01-12 17:14:04.148, , ,Active,0 Hr 9 Min 29,2023-01-12, , 
53,A_op_10_running_frequency_2023-01-16 17:20:22.510,op_10,running_frequency,servo motors,High limit,Instant,10,55,20,2023-01-16 17:20:22.510, , ,Active,0 Hr 4 Min 31,2023-01-16, , 
54,A_op_10_running_frequency_2023-01-16 17:21:22.654,op_10,running_frequency,servo motors,High limit,One minute,10,56,20,2023-01-16 17:21:22.654, , ,Active,0 Hr 4 Min 31,2023-01-16, , 
59,A_op_10_drive temperature_2023-01-16 17:44:09.516,op_10,drive temperature,servo motors,High limit,Instant,10,32,20,2023-01-16 17:44:09.516, , ,Active,14 Hr 3 Min 43,2023-01-16, , 
61,A_op_10_drive temperature_2023-01-16 17:45:15.675,op_10,drive temperature,servo motors,High limit,One minute,10,47,20,2023-01-16 17:45:15.675, , ,Active,14 Hr 3 Min 43,2023-01-16, , 
72,A_op_10_drive temperature_2023-01-16 17:54:11.673,op_10,drive temperature,servo motors,High limit,Ten Minute,10,46,20,2023-01-16 17:54:11.673, , ,Active,14 Hr 3 Min 43,2023-01-16, , 
78,A_op_10_op 10 running frequency_2023-01-16 17:59:15.356,op_10,op 10 running frequency,servo motors,Low limit,Instant,10,0,20,2023-01-16 17:59:15.356, , ,Active,16 Hr 20 Min 0,2023-01-16, , 
80,A_op_10_op 10 running frequency_2023-01-16 18:00:15.474,op_10,op 10 running frequency,servo motors,Low limit,One minute,10,0,20,2023-01-16 18:00:15.474, , ,Active,16 Hr 20 Min 0,2023-01-16, , 
81,A_op_10_op 10 three phase current_2023-01-16 18:00:57.563,op_10,op 10 three phase current,servo motors,Low limit,Instant,10,0,20,2023-01-16 18:00:57.563, , ,Active,16 Hr 18 Min 17,2023-01-16, , 
82,A_op_10_op 10 three phase current_2023-01-16 18:01:57.688,op_10,op 10 three phase current,servo motors,Low limit,One minute,10,0,20,2023-01-16 18:01:57.688, , ,Active,16 Hr 18 Min 17,2023-01-16, , 
84,A_op_10_op 10 drive temperature_2023-01-16 18:02:39.792,op_10,op 10 drive temperature,servo motors,Low limit,Instant,10,0,20,2023-01-16 18:02:39.792, , ,Active,16 Hr 16 Min 35,2023-01-16, , 
86,A_op_10_op 10 drive temperature_2023-01-16 18:03:39.917,op_10,op 10 drive temperature,servo motors,Low limit,One minute,10,0,20,2023-01-16 18:03:39.917, , ,Active,16 Hr 16 Min 35,2023-01-16, , 
88,A_op_10_motor running torque_2023-01-16 18:06:07.262,op_10,motor running torque,op_10,Low limit,Instant,10,4,20,2023-01-16 18:06:07.262, , ,Active,13 Hr 41 Min 46,2023-01-16, , 
90,A_op_10_motor running torque_2023-01-16 18:07:07.411,op_10,motor running torque,op_10,High limit,One minute,10,24,20,2023-01-16 18:07:07.411, , ,Active,16 Hr 13 Min 8,2023-01-16, , 
92,A_op_10_op 10 running frequency_2023-01-16 18:09:16.544,op_10,op 10 running frequency,servo motors,Low limit,Ten Minute,10,0,20,2023-01-16 18:09:16.544, , ,Active,16 Hr 20 Min 0,2023-01-16, , 
95,A_op_10_op 10 fan running status on off_2023-01-16 18:10:46.809,op_10,op 10 fan running status on off,servo motors,Low limit,Instant,10,0,20,2023-01-16 18:10:46.809, , ,Active,16 Hr 8 Min 28,2023-01-16, , 
96,A_op_10_op 10 three phase current_2023-01-16 18:10:58.833,op_10,op 10 three phase current,servo motors,Low limit,Ten Minute,10,0,20,2023-01-16 18:10:58.833, , ,Active,16 Hr 18 Min 17,2023-01-16, , 
98,A_op_10_op 10 fan running status on off_2023-01-16 18:11:46.976,op_10,op 10 fan running status on off,servo motors,Low limit,One minute,10,0,20,2023-01-16 18:11:46.976, , ,Active,16 Hr 8 Min 28,2023-01-16, , 
99,A_op_10_op 10 motor running torque_2023-01-16 18:12:29.103,op_10,op 10 motor running torque,servo motors,Low limit,Instant,10,0,20,2023-01-16 18:12:29.103, , ,Active,16 Hr 6 Min 46,2023-01-16, , 
101,A_op_10_op 10 drive temperature_2023-01-16 18:12:41.147,op_10,op 10 drive temperature,servo motors,Low limit,Ten Minute,10,0,20,2023-01-16 18:12:41.147, , ,Active,16 Hr 16 Min 35,2023-01-16, , 
102,A_op_10_op 10 motor running torque_2023-01-16 18:13:29.263,op_10,op 10 motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-16 18:13:29.263, , ,Active,16 Hr 6 Min 46,2023-01-16, , 
105,A_op_10_motor running torque_2023-01-16 18:16:08.700,op_10,motor running torque,op_10,High limit,Ten Minute,10,48,20,2023-01-16 18:16:08.700, , ,Active,16 Hr 13 Min 8,2023-01-16, , 
110,A_op_10_op 10 fan running status on off_2023-01-16 18:20:48.480,op_10,op 10 fan running status on off,servo motors,Low limit,Ten Minute,10,0,20,2023-01-16 18:20:48.480, , ,Active,16 Hr 8 Min 28,2023-01-16, , 
112,A_op_10_op 10 motor running torque_2023-01-16 18:22:30.736,op_10,op 10 motor running torque,servo motors,Low limit,Ten Minute,10,0,20,2023-01-16 18:22:30.736, , ,Active,16 Hr 6 Min 46,2023-01-16, , 
170,A_op_10_fan running status on off_2023-01-17 07:16:57.236,op_10,fan running status on off,op_10,High limit,Instant,10,34,20,2023-01-17 07:16:57.236, , ,Active,3 Hr 2 Min 18,2023-01-17, , 
171,A_op_10_fan running status on off_2023-01-17 07:17:57.411,op_10,fan running status on off,op_10,High limit,One minute,10,42,20,2023-01-17 07:17:57.411, , ,Active,3 Hr 2 Min 18,2023-01-17, , 
172,A_op_10_fan running status on off_2023-01-17 10:19:15.538,op_10,fan running status on off,op_10,High limit,Ten Minute,10,36,20,2023-01-17 10:19:15.538, , ,Active,0,2023-01-17, , 
173,A_op_10_motor temperature_2023-01-18 10:29:34.880,op_10,motor temperature,servo motors,High limit,Instant,10,49,20,2023-01-18 10:29:34.880, , ,Active,21 Hr 18 Min 18,2023-01-18, , 
174,A_op_10_motor temperature_2023-01-18 10:30:35.015,op_10,motor temperature,servo motors,High limit,One minute,10,23,20,2023-01-18 10:30:35.015, , ,Active,21 Hr 18 Min 18,2023-01-18, , 
175,A_op_10_st1 motor temperature_2023-01-18 10:31:35.195,op_10,st1 motor temperature,servo motors,High limit,Instant,10,67,20,2023-01-18 10:31:35.195, , ,Active,21 Hr 16 Min 18,2023-01-18, , 
176,A_op_10_st1 motor temperature_2023-01-18 10:32:41.372,op_10,st1 motor temperature,servo motors,High limit,One minute,10,99,20,2023-01-18 10:32:41.372, , ,Active,21 Hr 16 Min 18,2023-01-18, , 
177,A_op_10_op 10 fan running status_2023-01-18 10:33:38.511,op_10,op 10 fan running status,servo motors,High limit,Instant,10,75,20,2023-01-18 10:33:38.511, , ,Active,21 Hr 14 Min 14,2023-01-18, , 
178,A_op_10_op 10 fan running status_2023-01-18 10:34:38.655,op_10,op 10 fan running status,servo motors,High limit,One minute,10,28,20,2023-01-18 10:34:38.655, , ,Active,21 Hr 14 Min 14,2023-01-18, , 
180,A_op_10_op 10 motor temperature_2023-01-18 10:35:38.756,op_10,op 10 motor temperature,servo motors,High limit,Instant,10,67,20,2023-01-18 10:35:38.756, , ,Active,21 Hr 12 Min 14,2023-01-18, , 
181,A_op_10_op 10 motor temperature_2023-01-18 10:36:38.934,op_10,op 10 motor temperature,servo motors,High limit,One minute,10,48,20,2023-01-18 10:36:38.934, , ,Active,21 Hr 12 Min 14,2023-01-18, , 
182,A_op_10_op 10 without vfd motor temperature_2023-01-18 10:37:05.996,op_10,op 10 without vfd motor temperature,servo motors,Low limit,Instant,10,3,20,2023-01-18 10:37:05.996, , ,Active,21 Hr 10 Min 47,2023-01-18, , 
184,A_op_10_op 10 without vfd motor temperature_2023-01-18 10:38:06.132,op_10,op 10 without vfd motor temperature,servo motors,Low limit,One minute,10,5,20,2023-01-18 10:38:06.132, , ,Active,21 Hr 10 Min 47,2023-01-18, , 
186,A_op_10_motor temperature_2023-01-18 10:39:36.401,op_10,motor temperature,servo motors,High limit,Ten Minute,10,42,20,2023-01-18 10:39:36.401, , ,Active,21 Hr 18 Min 18,2023-01-18, , 
189,A_op_10_st1 motor temperature_2023-01-18 10:41:36.700,op_10,st1 motor temperature,servo motors,High limit,Ten Minute,10,32,20,2023-01-18 10:41:36.700, , ,Active,21 Hr 16 Min 18,2023-01-18, , 
192,A_op_10_op 10 fan running status_2023-01-18 10:43:40.012,op_10,op 10 fan running status,servo motors,High limit,Ten Minute,10,27,20,2023-01-18 10:43:40.012, , ,Active,21 Hr 14 Min 14,2023-01-18, , 
196,A_op_10_op 10 motor temperature_2023-01-18 10:45:40.314,op_10,op 10 motor temperature,servo motors,High limit,Ten Minute,10,51,20,2023-01-18 10:45:40.314, , ,Active,21 Hr 12 Min 14,2023-01-18, , 
198,A_op_10_op 10 without vfd motor temperature_2023-01-18 10:47:07.546,op_10,op 10 without vfd motor temperature,servo motors,Low limit,Ten Minute,10,3,20,2023-01-18 10:47:07.546, , ,Active,21 Hr 10 Min 47,2023-01-18, , 
236,A_op_10_running frequency_2023-01-18 11:22:00.768,op_10,running frequency,servo motors,High limit,Instant,10,58,20,2023-01-18 11:22:00.768, , ,Active,20 Hr 25 Min 52,2023-01-18, , 
238,A_op_10_running frequency_2023-01-18 11:23:00.924,op_10,running frequency,servo motors,High limit,One minute,10,54,20,2023-01-18 11:23:00.924, , ,Active,20 Hr 25 Min 52,2023-01-18, , 
239,A_op_10_running frequency_2023-01-18 11:23:00.925,op_10,running frequency,servo motors,High limit,One minute,10,54,20,2023-01-18 11:23:00.925, , ,Active,20 Hr 25 Min 52,2023-01-18, , 
240,A_op_20_fan running status on off_2023-01-18 11:23:55.023,op_20,fan running status on off,servo motors,Low limit,Instant,10,0,20,2023-01-18 11:23:55.023, , ,Active,20 Hr 23 Min 58,2023-01-18, , 
242,A_op_20_fan running status on off_2023-01-18 11:24:55.213,op_20,fan running status on off,servo motors,Low limit,One minute,10,1,20,2023-01-18 11:24:55.213, , ,Active,20 Hr 23 Min 58,2023-01-18, , 
243,A_op_20_fan running status on off_2023-01-18 11:24:55.213,op_20,fan running status on off,servo motors,Low limit,One minute,10,1,20,2023-01-18 11:24:55.213, , ,Active,20 Hr 23 Min 58,2023-01-18, , 
252,A_op_10_running frequency_2023-01-18 11:32:08.246,op_10,running frequency,servo motors,High limit,Ten Minute,10,57,20,2023-01-18 11:32:08.246, , ,Active,20 Hr 25 Min 52,2023-01-18, , 
253,A_op_10_running frequency_2023-01-18 11:32:08.247,op_10,running frequency,servo motors,High limit,Ten Minute,10,54,20,2023-01-18 11:32:08.247, , ,Active,20 Hr 25 Min 52,2023-01-18, , 
256,A_op_20_fan running status on off_2023-01-18 11:33:59.551,op_20,fan running status on off,servo motors,Low limit,Ten Minute,10,1,20,2023-01-18 11:33:59.551, , ,Active,20 Hr 23 Min 58,2023-01-18, , 
257,A_op_20_fan running status on off_2023-01-18 11:33:59.552,op_20,fan running status on off,servo motors,Low limit,Ten Minute,10,0,20,2023-01-18 11:33:59.552, , ,Active,20 Hr 23 Min 58,2023-01-18, , 
266,A_op_20_motor running torque_2023-01-18 11:41:00.618,op_20,motor running torque,servo motors,Low limit,Instant,10,1,20,2023-01-18 11:41:00.618, , ,Active,20 Hr 6 Min 52,2023-01-18, , 
268,A_op_20_motor running torque_2023-01-18 11:42:00.822,op_20,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 11:42:00.822, , ,Active,20 Hr 6 Min 52,2023-01-18, , 
269,A_op_20_motor running torque_2023-01-18 11:42:00.822,op_20,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 11:42:00.822, , ,Active,20 Hr 6 Min 52,2023-01-18, , 
270,A_op_20_drive temperature_2023-01-18 11:42:42.940,op_20,drive temperature,servo motors,Low limit,Instant,10,0,20,2023-01-18 11:42:42.940, , ,Active,20 Hr 5 Min 10,2023-01-18, , 
272,A_op_20_drive temperature_2023-01-18 11:43:43.088,op_20,drive temperature,servo motors,High limit,One minute,10,44,20,2023-01-18 11:43:43.088, , ,Active,20 Hr 5 Min 10,2023-01-18, , 
273,A_op_20_drive temperature_2023-01-18 11:43:43.088,op_20,drive temperature,servo motors,Low limit,One minute,10,0,20,2023-01-18 11:43:43.088, , ,Active,20 Hr 5 Min 10,2023-01-18, , 
279,A_op_20_running frequency_2023-01-18 11:48:46.949,op_20,running frequency,servo motors,High limit,Instant,10,60,20,2023-01-18 11:48:46.949, , ,Active,19 Hr 59 Min 6,2023-01-18, , 
281,A_op_20_running frequency_2023-01-18 11:49:47.100,op_20,running frequency,servo motors,High limit,One minute,10,52,20,2023-01-18 11:49:47.100, , ,Active,19 Hr 59 Min 6,2023-01-18, , 
282,A_op_20_running frequency_2023-01-18 11:49:47.100,op_20,running frequency,servo motors,High limit,One minute,10,60,20,2023-01-18 11:49:47.100, , ,Active,19 Hr 59 Min 6,2023-01-18, , 
284,A_op_20_motor running torque_2023-01-18 11:51:02.269,op_20,motor running torque,servo motors,Low limit,Ten Minute,10,1,20,2023-01-18 11:51:02.269, , ,Active,20 Hr 6 Min 52,2023-01-18, , 
285,A_op_20_motor running torque_2023-01-18 11:51:02.269,op_20,motor running torque,servo motors,Low limit,Ten Minute,10,0,20,2023-01-18 11:51:02.269, , ,Active,20 Hr 6 Min 52,2023-01-18, , 
286,A_op_20_motor running torque_2023-01-18 11:51:02.270,op_20,motor running torque,servo motors,Low limit,Ten Minute,10,0,20,2023-01-18 11:51:02.270, , ,Active,20 Hr 6 Min 52,2023-01-18, , 
289,A_op_20_drive temperature_2023-01-18 11:52:44.577,op_20,drive temperature,servo motors,High limit,Ten Minute,10,36,20,2023-01-18 11:52:44.577, , ,Active,20 Hr 5 Min 10,2023-01-18, , 
290,A_op_20_drive temperature_2023-01-18 11:52:44.577,op_20,drive temperature,servo motors,Low limit,Ten Minute,10,0,20,2023-01-18 11:52:44.577, , ,Active,20 Hr 5 Min 10,2023-01-18, , 
291,A_op_20_drive temperature_2023-01-18 11:52:44.577,op_20,drive temperature,servo motors,Low limit,Ten Minute,10,0,20,2023-01-18 11:52:44.577, , ,Active,20 Hr 5 Min 10,2023-01-18, , 
292,A_op_30_fan running status on off_2023-01-18 11:53:05.683,op_30,fan running status on off,servo motors,Low limit,Instant,10,1,20,2023-01-18 11:53:05.683, , ,Active,19 Hr 54 Min 47,2023-01-18, , 
293,A_op_30_fan running status on off_2023-01-18 11:54:05.789,op_30,fan running status on off,servo motors,Low limit,One minute,10,0,20,2023-01-18 11:54:05.789, , ,Active,19 Hr 54 Min 47,2023-01-18, , 
294,A_op_30_fan running status on off_2023-01-18 11:54:05.790,op_30,fan running status on off,servo motors,Low limit,One minute,10,1,20,2023-01-18 11:54:05.790, , ,Active,19 Hr 54 Min 47,2023-01-18, , 
295,A_op_30_fan running status on off_2023-01-18 11:54:05.790,op_30,fan running status on off,servo motors,Low limit,One minute,10,0,20,2023-01-18 11:54:05.790, , ,Active,19 Hr 54 Min 47,2023-01-18, , 
302,A_op_20_running frequency_2023-01-18 11:58:48.474,op_20,running frequency,servo motors,High limit,Ten Minute,10,57,20,2023-01-18 11:58:48.474, , ,Active,19 Hr 59 Min 6,2023-01-18, , 
303,A_op_20_running frequency_2023-01-18 11:58:48.474,op_20,running frequency,servo motors,High limit,Ten Minute,10,60,20,2023-01-18 11:58:48.474, , ,Active,19 Hr 59 Min 6,2023-01-18, , 
309,A_op_30_fan running status on off_2023-01-18 12:03:07.037,op_30,fan running status on off,servo motors,Low limit,Ten Minute,10,0,20,2023-01-18 12:03:07.037, , ,Active,19 Hr 54 Min 47,2023-01-18, , 
310,A_op_30_fan running status on off_2023-01-18 12:03:07.037,op_30,fan running status on off,servo motors,Low limit,Ten Minute,10,0,20,2023-01-18 12:03:07.037, , ,Active,19 Hr 54 Min 47,2023-01-18, , 
311,A_op_30_fan running status on off_2023-01-18 12:03:07.038,op_30,fan running status on off,servo motors,Low limit,Ten Minute,10,0,20,2023-01-18 12:03:07.038, , ,Active,19 Hr 54 Min 47,2023-01-18, , 
323,A_op_30_motor running torque_2023-01-18 12:11:56.417,op_30,motor running torque,servo motors,Low limit,Instant,10,0,20,2023-01-18 12:11:56.417, , ,Active,19 Hr 35 Min 56,2023-01-18, , 
325,A_op_30_motor running torque_2023-01-18 12:12:56.536,op_30,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 12:12:56.536, , ,Active,19 Hr 35 Min 56,2023-01-18, , 
326,A_op_30_motor running torque_2023-01-18 12:12:56.536,op_30,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 12:12:56.536, , ,Active,19 Hr 35 Min 56,2023-01-18, , 
327,A_op_30_motor running torque_2023-01-18 12:12:56.537,op_30,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 12:12:56.537, , ,Active,19 Hr 35 Min 56,2023-01-18, , 
328,A_op_30_motor running torque_2023-01-18 12:12:56.537,op_30,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 12:12:56.537, , ,Active,19 Hr 35 Min 56,2023-01-18, , 
329,A_op_40_fan running status on off_2023-01-18 12:13:38.634,op_40,fan running status on off,servo motors,Low limit,Instant,10,0,20,2023-01-18 12:13:38.634, , ,Active,19 Hr 34 Min 14,2023-01-18, , 
331,A_op_40_fan running status on off_2023-01-18 12:14:38.740,op_40,fan running status on off,servo motors,Low limit,One minute,10,0,20,2023-01-18 12:14:38.740, , ,Active,19 Hr 34 Min 14,2023-01-18, , 
332,A_op_40_fan running status on off_2023-01-18 12:14:38.740,op_40,fan running status on off,servo motors,Low limit,One minute,10,1,20,2023-01-18 12:14:38.740, , ,Active,19 Hr 34 Min 14,2023-01-18, , 
333,A_op_40_fan running status on off_2023-01-18 12:14:38.741,op_40,fan running status on off,servo motors,Low limit,One minute,10,0,20,2023-01-18 12:14:38.741, , ,Active,19 Hr 34 Min 14,2023-01-18, , 
334,A_op_40_fan running status on off_2023-01-18 12:14:38.741,op_40,fan running status on off,servo motors,Low limit,One minute,10,1,20,2023-01-18 12:14:38.741, , ,Active,19 Hr 34 Min 14,2023-01-18, , 
343,A_op_30_motor running torque_2023-01-18 12:21:57.824,op_30,motor running torque,servo motors,Low limit,Ten Minute,10,0,20,2023-01-18 12:21:57.824, , ,Active,19 Hr 35 Min 56,2023-01-18, , 
344,A_op_30_motor running torque_2023-01-18 12:21:57.824,op_30,motor running torque,servo motors,Low limit,Ten Minute,10,0,20,2023-01-18 12:21:57.824, , ,Active,19 Hr 35 Min 56,2023-01-18, , 
345,A_op_30_motor running torque_2023-01-18 12:21:57.824,op_30,motor running torque,servo motors,Low limit,Ten Minute,10,0,20,2023-01-18 12:21:57.824, , ,Active,19 Hr 35 Min 56,2023-01-18, , 
346,A_op_30_motor running torque_2023-01-18 12:21:57.824,op_30,motor running torque,servo motors,Low limit,Ten Minute,10,0,20,2023-01-18 12:21:57.824, , ,Active,19 Hr 35 Min 56,2023-01-18, , 
349,A_op_40_fan running status on off_2023-01-18 12:23:40.053,op_40,fan running status on off,servo motors,Low limit,Ten Minute,10,1,20,2023-01-18 12:23:40.053, , ,Active,19 Hr 34 Min 14,2023-01-18, , 
351,A_op_40_fan running status on off_2023-01-18 12:23:40.054,op_40,fan running status on off,servo motors,Low limit,Ten Minute,10,1,20,2023-01-18 12:23:40.054, , ,Active,19 Hr 34 Min 14,2023-01-18, , 
352,A_op_40_fan running status on off_2023-01-18 12:23:40.054,op_40,fan running status on off,servo motors,Low limit,Ten Minute,10,0,20,2023-01-18 12:23:40.054, , ,Active,19 Hr 34 Min 14,2023-01-18, , 
353,A_op_40_fan running status on off_2023-01-18 12:23:40.054,op_40,fan running status on off,servo motors,Low limit,Ten Minute,10,0,20,2023-01-18 12:23:40.054, , ,Active,19 Hr 34 Min 14,2023-01-18, , 
356,A_op_40_motor running torque_2023-01-18 12:25:34.324,op_40,motor running torque,servo motors,Low limit,Instant,10,1,20,2023-01-18 12:25:34.324, , ,Active,19 Hr 22 Min 19,2023-01-18, , 
358,A_op_40_motor running torque_2023-01-18 12:26:34.440,op_40,motor running torque,servo motors,Low limit,One minute,10,1,20,2023-01-18 12:26:34.440, , ,Active,19 Hr 22 Min 19,2023-01-18, , 
359,A_op_40_motor running torque_2023-01-18 12:26:34.440,op_40,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 12:26:34.440, , ,Active,19 Hr 22 Min 19,2023-01-18, , 
360,A_op_40_motor running torque_2023-01-18 12:26:34.440,op_40,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 12:26:34.440, , ,Active,19 Hr 22 Min 19,2023-01-18, , 
361,A_op_40_motor running torque_2023-01-18 12:26:34.441,op_40,motor running torque,servo motors,Low limit,One minute,10,0,20,2023-01-18 12:26:34.441, , ,Active,19 Hr 22 Min 19,2023-01-18, , 
372,A_op_50_fan running status on off_2023-01-18 12:34:07.610,op_50,fan running status on off,servo motors,Low limit,Instant,10,0,20,2023-01-18 12:34:07.610, , ,Active,19 Hr 13 Min 45,2023-01-18, , 
374,A_op_50_fan running status on off_2023-01-18 12:35:08.197,op_50,fan running status on off,servo motors,Low limit,One minute,10,0,20,2023-01-18 12:35:08.197, , ,Active,19 Hr 13 Min 45,2023-01-18, , 
375,A_op_50_fan running status on off_2023-01-18 12:35:08.197,op_50,fan running status on off,servo motors,Low limit,One minute,10,0,20,2023-01-18 12:35:08.197, , ,Active,19 Hr 13 Min 45,2023-01-18, , 
376,A_op_50_fan running status on off_2023-01-18 12:35:08.197,op_50,fan running status on off,servo motors,Low limit,One minute,10,1,20,2023-01-18 12:35:08.197, , ,Active,19 Hr 13 Min 45,2023-01-18, , 
377,A_op_50_fan running status on off_2023-01-18 12:35:08.198,op_50,fan running status on off,servo motors,Low limit,One minute,10,0,20,2023-01-18 12:35:08.198, , ,Active,19 Hr 13 Min 45,2023-01-18, , 
378,A_op_50_fan running status on off_2023-01-18 12:35:08.198,op_50,fan running status on off,servo motors,Low limit,One minute,10,0,20,2023-01-18 12:35:08.198, , ,Active,19 Hr 13 Min 45,2023-01-18, , 
379,A_op_50_fan running status on off_2023-01-18 12:35:11.182,op_50,fan running status on off,servo motors,Low limit,One minute,10,1,20,2023-01-18 12:35:11.182, , ,Active,19 Hr 13 Min 45,2023-01-18, , 
380,A_op_50_fan running status on off_2023-01-18 12:35:11.182,op_50,fan running status on off,servo motors,Low limit,One minute,10,1,20,2023-01-18 12:35:11.182, , ,Active,19 Hr 13 Min 45,2023-01-18, , 
381,A_op_50_fan running status on off_2023-01-18 12:35:11.183,op_50,fan running status on off,servo motors,Low limit,One minute,10,0,20,2023-01-18 12:35:11.183, , ,Active,19 Hr 13 Min 45,2023-01-18, , 
382,A_op_50_fan running status on off_2023-01-18 12:35:11.183,op_50,fan running status on off,servo motors,Low limit,One minute,10,1,20,2023-01-18 12:35:11.183, , ,Active,19 Hr 13 Min 45,2023-01-18, , 
383,A_op_50_fan running status on off_2023-01-18 12:35:11.183,op_50,fan running status on off,servo motors,Low limit,One minute,10,0,20,2023-01-18 12:35:11.183, , ,Active,19 Hr 13 Min 45,2023-01-18, , 
384,A_op_50_fan running status on off_2023-01-18 12:35:14.160,op_50,fan running status on off,servo motors,Low limit,One minute,10,0,20,2023-01-18 12:35:14.160, , ,Active,19 Hr 13 Min 45,2023-01-18, , 
