alert_no,station_name,sensor_name,sensor_type,alert_type,fault_type,lsl,alert_value,hsl,start_time,end_time,duration,status,timelapse,date,remarks,acknowledge
A_op_190_y phasecurrent input conveyor_2024-06-07 16:52:23.612,op_190,y phasecurrent input conveyor,phasecurrent_type2,High limit,one minute,0,2.23,1,2024-06-07 16:52:23.612, , ,Active,0,2024-06-07, , 
A_op_20_running load in kw_2024-06-07 14:24:33.239,op_20,running load in kw,running_load_in_kw_type1,High limit,ten minute,0,7.49,0,2024-06-07 14:24:33.239, , ,Active,0,2024-06-07, , 
A_op_20_power factor_2024-06-07 16:52:23.612,op_20,power factor,power_factor_type1,High limit,one minute,0,8.38,1,2024-06-07 16:52:23.612, , ,Active,0,2024-06-07, , 
A_op_20_Input Conveyor VFD running frequency_2024-06-07 16:46:20.774,op_20,Input Conveyor VFD running frequency,running_frequency_type1,High limit,ten minute,0,1016.84,25,2024-06-07 16:46:20.774, , ,Active,0,2024-06-07, , 
A_op_20_Transfer Conveyor VFD running frequency_2024-06-07 16:52:23.612,op_20,Transfer Conveyor VFD running frequency,running_frequency_type1,High limit,one minute,0,1265.68,25,2024-06-07 16:52:23.612, , ,Active,0,2024-06-07, , 
A_op_30_running frequency input conveyor_2024-06-07 16:52:23.612,op_30,running frequency input conveyor,running_frequency_type1,High limit,one minute,0,149.72,25,2024-06-07 16:52:23.612, , ,Active,0,2024-06-07, , 
A_op_30_running load in kw_2024-06-07 14:10:38.843,op_30,running load in kw,running_load_in_kw_type1,High limit,ten minute,0,5.95,0,2024-06-07 14:10:38.843, , ,Active,0,2024-06-07, , 
A_op_310A_running frequency buffer conveyor_2024-06-07 16:20:00.327,op_310A,running frequency buffer conveyor,running_frequency_type1,High limit,ten minute,0,1166.73,25,2024-06-07 16:20:00.327, , ,Active,0,2024-06-07, , 
A_op_310A_r phasecurrent buffer conveyor_2024-06-07 16:52:23.612,op_310A,r phasecurrent buffer conveyor,phasecurrent_type2,High limit,one minute,0,10.38,1,2024-06-07 16:52:23.612, , ,Active,0,2024-06-07, , 
A_op_310A_y phasecurrent buffer conveyor_2024-06-07 16:46:20.774,op_310A,y phasecurrent buffer conveyor,phasecurrent_type2,High limit,ten minute,0,7.36,1,2024-06-07 16:46:20.774, , ,Active,0,2024-06-07, , 
A_op_310A_running frequency transfer conveyor_2024-06-07 16:20:00.327,op_310A,running frequency transfer conveyor,running_frequency_type1,High limit,ten minute,0,375.03,25,2024-06-07 16:20:00.327, , ,Active,0,2024-06-07, , 
A_op_310A_Buffer Conveyor VFD running frequency_2024-06-07 16:52:23.612,op_310A,Buffer Conveyor VFD running frequency,running_frequency_type1,High limit,one minute,0,1424.84,25,2024-06-07 16:52:23.612, , ,Active,0,2024-06-07, , 
A_op_310B_running frequency_2024-06-07 16:20:00.327,op_310B,running frequency,running_frequency_type1,High limit,ten minute,0,892.81,25,2024-06-07 16:20:00.327, , ,Active,0,2024-06-07, , 
A_op_310B_r phasecurrent_2024-06-07 16:39:43.562,op_310B,r phasecurrent,phasecurrent_type2,Low limit,ten minute,0,-8.59,1,2024-06-07 16:39:43.562, , ,Active,0,2024-06-07, , 
