Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"op3100_alarm5","D0190044",Word,1,RO,100,,,,,,,,,,"",
"op3100_alarm6","D0190045",Word,1,RO,100,,,,,,,,,,"",
"op3100_alarm7","D0190046",Word,1,RO,100,,,,,,,,,,"",
"op3100_alarm8","D0190047",Word,1,RO,100,,,,,,,,,,"",
"op3100_alarm9","D0190048",Word,1,RO,100,,,,,,,,,,"",
"op3100_automode_running","D0190018.03",Boolean,1,RO,100,,,,,,,,,,"",
"op3100_automode_selected","D0190018.00",Boolean,1,RO,100,,,,,,,,,,"",
"op3100_break","D0190000.02",Boolean,1,RO,100,,,,,,,,,,"",
"op3100_error_active","D0190018.05",Boolean,1,RO,100,,,,,,,,,,"",
"op3100_loss1","D0190000.04",Boolean,1,RO,100,,,,,,,,,,"",
"op3100_loss2","D0190000.05",Boolean,1,RO,100,,,,,,,,,,"",
"op3100_manualmode_selected","D0190018.01",Boolean,1,RO,100,,,,,,,,,,"",
"op3100_NOK_parts","D0190012",DWord,1,RO,100,,,,,,,,,,"",
"op3100_OK_parts","D0190010",DWord,1,RO,100,,,,,,,,,,"",
"op3100_operation_complete","D0190000.01",Boolean,1,RO,100,,,,,,,,,,"",
"op3100_productionreset","D0190000.00",Boolean,1,RO,100,,,,,,,,,,"",
"op3100_rejection1","D0190020",Word,1,RO,100,,,,,,,,,,"",
"op3100_rework","D0095000.03",DWord,1,RO,100,,,,,,,,,,"",
"op3100_shift","D0190028",Word,1,RO,100,,,,,,,,,,"",
"op3100_Total_parts","D0190014",DWord,1,RO,100,,,,,,,,,,"",
"op3100_variant","D0190022",Word,1,RO,100,,,,,,,,,,"",
"op3110_actualcycletime","D0191026",DWord,1,RO,100,,,,,,,,,,"",
"op3110_alarm1","D0191040",Word,1,RO,100,,,,,,,,,,"",
"op3110_alarm10","D0191049",Word,1,RO,100,,,,,,,,,,"",
"op3110_alarm11","D0191050",Word,1,RO,100,,,,,,,,,,"",
"op3110_alarm12","D0191051",Word,1,RO,100,,,,,,,,,,"",
"op3110_alarm13","D0191052",Word,1,RO,100,,,,,,,,,,"",
"op3110_alarm14","D0191053",Word,1,RO,100,,,,,,,,,,"",
"op3110_alarm15","D0191054",Word,1,RO,100,,,,,,,,,,"",
"op3110_alarm16","D0191055",Word,1,RO,100,,,,,,,,,,"",
"op3110_alarm2","D0191041",Word,1,RO,100,,,,,,,,,,"",
"op3110_alarm3","D0191042",Word,1,RO,100,,,,,,,,,,"",
"op3110_alarm4","D0191043",Word,1,RO,100,,,,,,,,,,"",
"op3110_alarm5","D0191044",Word,1,RO,100,,,,,,,,,,"",
"op3110_alarm6","D0191045",Word,1,RO,100,,,,,,,,,,"",
"op3110_alarm7","D0191046",Word,1,RO,100,,,,,,,,,,"",
"op3110_alarm8","D0191047",Word,1,RO,100,,,,,,,,,,"",
"op3110_alarm9","D0191048",Word,1,RO,100,,,,,,,,,,"",
"op3110_automode_running","D0191018.03",Boolean,1,RO,100,,,,,,,,,,"",
"op3110_automode_selected","D0191018.00",Boolean,1,RO,100,,,,,,,,,,"",
"op3110_break","D0191000.02",Boolean,1,RO,100,,,,,,,,,,"",
"op3110_error_active","D0191018.05",Boolean,1,RO,100,,,,,,,,,,"",
"op3110_loss1","D0191000.04",Boolean,1,RO,100,,,,,,,,,,"",
"op3110_loss2","D0191000.05",Boolean,1,RO,100,,,,,,,,,,"",
"op3110_manualmode_selected","D0191018.01",Boolean,1,RO,100,,,,,,,,,,"",
"op3110_NOK_parts","D0191012",DWord,1,RO,100,,,,,,,,,,"",
"op3110_OK_parts","D0191010",DWord,1,RO,100,,,,,,,,,,"",
"op3110_operation_complete","D0191000.01",Boolean,1,RO,100,,,,,,,,,,"",
"op3110_productionreset","D0191000.00",Boolean,1,RO,100,,,,,,,,,,"",
"op3110_rejection1","D0191020",Word,1,RO,100,,,,,,,,,,"",
"op3110_rework","D0105000.03",DWord,1,RO,100,,,,,,,,,,"",
"op3110_shift","D0191028",Word,1,RO,100,,,,,,,,,,"",
"op3110_Total_parts","D0191014",DWord,1,RO,100,,,,,,,,,,"",
"op3110_variant","D0191022",Word,1,RO,100,,,,,,,,,,"",
