Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"op3040_actualcycletime","D0179026",DWord,1,RO,100,,,,,,,,,,"",
"op3040_alarm1","D0179053",Word,1,RO,100,,,,,,,,,,"",
"op3040_alarm10","D0179062",Word,1,RO,100,,,,,,,,,,"",
"op3040_alarm11","D0179063",Word,1,RO,100,,,,,,,,,,"",
"op3040_alarm12","D0179064",Word,1,RO,100,,,,,,,,,,"",
"op3040_alarm13","D0179065",Word,1,RO,100,,,,,,,,,,"",
"op3040_alarm14","D0179066",Word,1,RO,100,,,,,,,,,,"",
"op3040_alarm15","D0179067",Word,1,RO,100,,,,,,,,,,"",
"op3040_alarm16","D0179068",Word,1,RO,100,,,,,,,,,,"",
"op3040_alarm2","D0179054",Word,1,RO,100,,,,,,,,,,"",
"op3040_alarm3","D0179055",Word,1,RO,100,,,,,,,,,,"",
"op3040_alarm4","D0179056",Word,1,RO,100,,,,,,,,,,"",
"op3040_alarm5","D0179057",Word,1,RO,100,,,,,,,,,,"",
"op3040_alarm6","D0179058",Word,1,RO,100,,,,,,,,,,"",
"op3040_alarm7","D0179059",Word,1,RO,100,,,,,,,,,,"",
"op3040_alarm8","D0179060",Word,1,RO,100,,,,,,,,,,"",
"op3040_alarm9","D0179061",Word,1,RO,100,,,,,,,,,,"",
"op3040_automode_running","D0179018.03",Boolean,1,RO,100,,,,,,,,,,"",
"op3040_automode_selected","D0179018.00",Boolean,1,RO,100,,,,,,,,,,"",
"op3040_break","D0179000.02",Boolean,1,RO,100,,,,,,,,,,"",
"op3040_error_active","D0179018.05",Boolean,1,RO,100,,,,,,,,,,"",
"op3040_loss1","D0179000.04",Boolean,1,RO,100,,,,,,,,,,"",
"op3040_loss2","D0179000.05",Boolean,1,RO,100,,,,,,,,,,"",
"op3040_manualmode_selected","D0179018.01",Boolean,1,RO,100,,,,,,,,,,"",
"op3040_NOK_parts","D0179012",DWord,1,RO,100,,,,,,,,,,"",
"op3040_OK_parts","D0179010",DWord,1,RO,100,,,,,,,,,,"",
"op3040_operation_complete","D0179000.01",Boolean,1,RO,100,,,,,,,,,,"",
"op3040_productionreset","D0179000.00",Boolean,1,RO,100,,,,,,,,,,"",
"op3040_rejection1","D0179020",Word,1,RO,100,,,,,,,,,,"",
"op3040_rework","D0045000.03",DWord,1,RO,100,,,,,,,,,,"",
"op3040_shift","D0179028",Word,1,RO,100,,,,,,,,,,"",
"op3040_tool_count","D0179024",DWord,1,RO,100,,,,,,,,,,"",
"op3040_tool_reset","D0179000.03",Boolean,1,RO,100,,,,,,,,,,"",
"op3040_Total_parts","D0179014",DWord,1,RO,100,,,,,,,,,,"",
"op3040_variant","D0179022",Word,1,RO,100,,,,,,,,,,"",
"op3050_actualcycletime","D0179526",DWord,1,RO,100,,,,,,,,,,"",
"op3050_alarm1","D0179548",Word,1,RO,100,,,,,,,,,,"",
"op3050_alarm10","D0179557",Word,1,RO,100,,,,,,,,,,"",
"op3050_alarm11","D0179558",Word,1,RO,100,,,,,,,,,,"",
"op3050_alarm12","D0179559",Word,1,RO,100,,,,,,,,,,"",
"op3050_alarm13","D0179560",Word,1,RO,100,,,,,,,,,,"",
"op3050_alarm14","D0179561",Word,1,RO,100,,,,,,,,,,"",
"op3050_alarm15","D0179562",Word,1,RO,100,,,,,,,,,,"",
