Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"IIOT_Energy_Meter_Current_In","D0180071",Float,1,R/W,100,,,,,,,,,,"",
"IIOT_Energy_Meter_Current_l1","D0180057",Float,1,R/W,100,,,,,,,,,,"",
"IIOT_Energy_Meter_Current_l2","D0180059",Float,1,R/W,100,,,,,,,,,,"",
"IIOT_Energy_Meter_Current_l3","D0180061",Float,1,R/W,100,,,,,,,,,,"",
"IIOT_Energy_Meter_Frequency","D0180069",Float,1,R/W,100,,,,,,,,,,"",
"IIOT_Energy_Meter_Total_Active_Power","D0180073",Float,1,R/W,100,,,,,,,,,,"",
"IIOT_Energy_Meter_Voltage_U1","D0180063",Float,1,R/W,100,,,,,,,,,,"",
"IIOT_Energy_Meter_Voltage_U2","D0180065",Float,1,R/W,100,,,,,,,,,,"",
"IIOT_Energy_Meter_Voltage_U3","D0180067",Float,1,R/W,100,,,,,,,,,,"",
"Lifter_Unit_01_VFD_Current_IIOT","D0199034",Float,1,R/W,100,,,,,,,,,,"",
"Lifter_Unit_01_VFD_Power_IIOT","D0199038",Float,1,R/W,100,,,,,,,,,,"",
"Lifter_Unit_01_VFD_Torque_IIOT","D0199036",Float,1,R/W,100,,,,,,,,,,"",
"Lifter_Unit_01_VFD_Voltage_IIOT","D0199032",Float,1,R/W,100,,,,,,,,,,"",
"Lifter_Unit_Conveyor_01_VFD_Current_IIOT","D0199026",Float,1,R/W,100,,,,,,,,,,"",
"Lifter_Unit_Conveyor_01_VFD_Power_IIOT","D0199030",Float,1,R/W,100,,,,,,,,,,"",
"Lifter_Unit_Conveyor_01_VFD_Torque_IIOT","D0199028",Float,1,R/W,100,,,,,,,,,,"",
"Lifter_Unit_Conveyor_01_VFD_Voltage_IIOT","D0199024",Float,1,R/W,100,,,,,,,,,,"",
"OP2110B_After_Rec_Con_VFD_Current_IIOT","D0197002",Float,1,R/W,100,,,,,,,,,,"",
"OP2110B_After_Rec_Con_VFD_Power_IIOT","D0197006",Float,1,R/W,100,,,,,,,,,,"",
"OP2110B_After_Rec_Con_VFD_Torque_IIOT","D0197004",Float,1,R/W,100,,,,,,,,,,"",
"OP2110B_After_Rec_Con_VFD_Voltage_IIOT","D0197000",Float,1,R/W,100,,,,,,,,,,"",
"Segment_1_VFD_Current_IIOT","D0199002",Float,1,R/W,100,,,,,,,,,,"",
"Segment_1_VFD_Power_IIOT","D0199006",Float,1,R/W,100,,,,,,,,,,"",
"Segment_1_VFD_Torque_IIOT","D0199004",Float,1,R/W,100,,,,,,,,,,"",
"Segment_1_VFD_Voltage_IIOT","D0199000",Float,1,R/W,100,,,,,,,,,,"",
"Segment_2_VFD_Current_IIOT","D0199010",Float,1,R/W,100,,,,,,,,,,"",
"Segment_2_VFD_Power_IIOT","D0199014",Float,1,R/W,100,,,,,,,,,,"",
"Segment_2_VFD_Torque_IIOT","D0199012",Float,1,R/W,100,,,,,,,,,,"",
"Segment_2_VFD_Voltage_IIOT","D0199008",Float,1,R/W,100,,,,,,,,,,"",
"Segment_3_VFD_Current_IIOT","D0199018",Float,1,R/W,100,,,,,,,,,,"",
"Segment_3_VFD_Power_IIOT","D0199022",Float,1,R/W,100,,,,,,,,,,"",
"Segment_3_VFD_Torque_IIOT","D0199020",Float,1,R/W,100,,,,,,,,,,"",
"Segment_3_VFD_Voltage_IIOT","D0199016",Float,1,R/W,100,,,,,,,,,,"",
