Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"op3140_alarm8","D0061067",Word,1,RO,100,,,,,,,,,,"",
"op3140_alarm9","D0061068",Word,1,RO,100,,,,,,,,,,"",
"op3140_automode_running","D0061018.03",Boolean,1,RO,100,,,,,,,,,,"",
"op3140_automode_selected","D0061018.00",Boolean,1,RO,100,,,,,,,,,,"",
"op3140_break","D0061000.02",Boolean,1,RO,100,,,,,,,,,,"",
"op3140_error_active","D0061018.05",Boolean,1,RO,100,,,,,,,,,,"",
"op3140_loss1","D0061000.04",Boolean,1,RO,100,,,,,,,,,,"",
"op3140_loss2","D0061000.05",Boolean,1,RO,100,,,,,,,,,,"",
"op3140_manualmode_selected","D0061018.01",Boolean,1,RO,100,,,,,,,,,,"",
"op3140_NOK_parts","D0061012",DWord,1,RO,100,,,,,,,,,,"",
"op3140_OK_parts","D0061010",DWord,1,RO,100,,,,,,,,,,"",
"op3140_operation_complete","D0061000.01",Boolean,1,RO,100,,,,,,,,,,"",
"op3140_productionreset","D0061000.00",Boolean,1,RO,100,,,,,,,,,,"",
"op3140_rejection1","D0061020",Word,1,RO,100,,,,,,,,,,"",
"op3140_rework","D0025000.03",DWord,1,RO,100,,,,,,,,,,"",
"op3140_shift","D0061028",Word,1,RO,100,,,,,,,,,,"",
"op3140_Total_parts","D0061014",DWord,1,RO,100,,,,,,,,,,"",
"op3140_variant","D0061022",Word,1,RO,100,,,,,,,,,,"",
"op3150_actualcycletime","D0062026",DWord,1,RO,100,,,,,,,,,,"",
"op3150_alarm1","D0062040",Word,1,RO,100,,,,,,,,,,"",
"op3150_alarm10","D0062049",Word,1,RO,100,,,,,,,,,,"",
"op3150_alarm11","D0062050",Word,1,RO,100,,,,,,,,,,"",
"op3150_alarm12","D0062051",Word,1,RO,100,,,,,,,,,,"",
"op3150_alarm13","D0062052",Word,1,RO,100,,,,,,,,,,"",
"op3150_alarm14","D0062053",Word,1,RO,100,,,,,,,,,,"",
"op3150_alarm15","D0062054",Word,1,RO,100,,,,,,,,,,"",
"op3150_alarm16","D0062055",Word,1,RO,100,,,,,,,,,,"",
"op3150_alarm2","D0062041",Word,1,RO,100,,,,,,,,,,"",
"op3150_alarm3","D0062042",Word,1,RO,100,,,,,,,,,,"",
"op3150_alarm4","D0062043",Word,1,RO,100,,,,,,,,,,"",
"op3150_alarm5","D0062044",Word,1,RO,100,,,,,,,,,,"",
"op3150_alarm6","D0062045",Word,1,RO,100,,,,,,,,,,"",
"op3150_alarm7","D0062046",Word,1,RO,100,,,,,,,,,,"",
"op3150_alarm8","D0062047",Word,1,RO,100,,,,,,,,,,"",
"op3150_alarm9","D0062048",Word,1,RO,100,,,,,,,,,,"",
"op3150_automode_running","D0062018.03",Boolean,1,RO,100,,,,,,,,,,"",
