Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"OP3160_IIOT_Seg1VFD_Voltage","D0192010",Float,1,R/W,100,,,,,,,,,,"",
"OP3160_IIOT_Seg2VFD_Current","D0192020",Float,1,R/W,100,,,,,,,,,,"",
"OP3160_IIOT_Seg2VFD_Power","D0192024",Float,1,R/W,100,,,,,,,,,,"",
"OP3160_IIOT_Seg2VFD_Torque","D0192022",Float,1,R/W,100,,,,,,,,,,"",
"OP3160_IIOT_Seg2VFD_Voltage","D0192018",Float,1,R/W,100,,,,,,,,,,"",
"OP3160_IIOT_Seg3VFD_Current","D0192028",Float,1,R/W,100,,,,,,,,,,"",
"OP3160_IIOT_Seg3VFD_Power","D0192032",Float,1,R/W,100,,,,,,,,,,"",
"OP3160_IIOT_Seg3VFD_Torque","D0192030",Float,1,R/W,100,,,,,,,,,,"",
"OP3160_IIOT_Seg3VFD_Voltage","D0192026",Float,1,R/W,100,,,,,,,,,,"",
"OP3160_IIOT_Seg4VFD_Current","D0192036",Float,1,R/W,100,,,,,,,,,,"",
"OP3160_IIOT_Seg4VFD_Power","D0192040",Float,1,R/W,100,,,,,,,,,,"",
"OP3160_IIOT_Seg4VFD_Torque","D0192038",Float,1,R/W,100,,,,,,,,,,"",
"OP3160_IIOT_Seg4VFD_Voltage","D0192034",Float,1,R/W,100,,,,,,,,,,"",
"OP3160A_IIOT_Recir_drive_Current","D0192052",Float,1,R/W,100,,,,,,,,,,"",
"OP3160A_IIOT_Recir_drive_Power","D0192056",Float,1,R/W,100,,,,,,,,,,"",
"OP3160A_IIOT_Recir_drive_Torque","D0192054",Float,1,R/W,100,,,,,,,,,,"",
"OP3160A_IIOT_Recir_drive_Voltage","D0192050",Float,1,R/W,100,,,,,,,,,,"",
"OP3160A_IIOT_Recir_Lifter_Current","D0192044",Float,1,R/W,100,,,,,,,,,,"",
"OP3160A_IIOT_Recir_Lifter_Power","D0192048",Float,1,R/W,100,,,,,,,,,,"",
"OP3160A_IIOT_Recir_Lifter_Torque","D0192046",Float,1,R/W,100,,,,,,,,,,"",
"OP3160A_IIOT_Recir_Lifter_Voltage","D0192042",Float,1,R/W,100,,,,,,,,,,"",
"OP3160AA_IIOT_OVH_Servo_Current","D0192004",Float,1,R/W,100,,,,,,,,,,"",
"OP3160AA_IIOT_OVH_Servo_Temperature","D0192000",Float,1,R/W,100,,,,,,,,,,"",
"OP3160AA_IIOT_OVH_Servo_Torque","D0192002",Float,1,R/W,100,,,,,,,,,,"",
"OP3160AA_IIOT_VFD_Current","D0192060",Float,1,R/W,100,,,,,,,,,,"",
"OP3160AA_IIOT_VFD_Power","D0192064",Float,1,R/W,100,,,,,,,,,,"",
"OP3160AA_IIOT_VFD_Torque","D0192062",Float,1,R/W,100,,,,,,,,,,"",
"OP3160AA_IIOT_VFD_Voltage","D0192058",Float,1,R/W,100,,,,,,,,,,"",
"OP85_IIOT_Rotary_Servo_Current","D0189046",Float,1,R/W,100,,,,,,,,,,"",
"OP85_IIOT_Rotary_Servo_Temperature","D0189042",Float,1,R/W,100,,,,,,,,,,"",
"OP85_IIOT_Rotary_Servo_Torque","D0189044",Float,1,R/W,100,,,,,,,,,,"",
