Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"op2060_actualcycletime","D0186026",DWord,1,RO,100,,,,,,,,,,"",
"op2060_alarm1","D0186040",Word,1,RO,100,,,,,,,,,,"",
"op2060_alarm10","D0186049",Word,1,RO,100,,,,,,,,,,"",
"op2060_alarm11","D0186050",Word,1,RO,100,,,,,,,,,,"",
"op2060_alarm12","D0186051",Word,1,RO,100,,,,,,,,,,"",
"op2060_alarm13","D0186052",Word,1,RO,100,,,,,,,,,,"",
"op2060_alarm14","D0186053",Word,1,RO,100,,,,,,,,,,"",
"op2060_alarm15","D0186054",Word,1,RO,100,,,,,,,,,,"",
"op2060_alarm16","D0186055",Word,1,RO,100,,,,,,,,,,"",
"op2060_alarm2","D0186041",Word,1,RO,100,,,,,,,,,,"",
"op2060_alarm3","D0186042",Word,1,RO,100,,,,,,,,,,"",
"op2060_alarm4","D0186043",Word,1,RO,100,,,,,,,,,,"",
"op2060_alarm5","D0186044",Word,1,RO,100,,,,,,,,,,"",
"op2060_alarm6","D0186045",Word,1,RO,100,,,,,,,,,,"",
"op2060_alarm7","D0186046",Word,1,RO,100,,,,,,,,,,"",
"op2060_alarm8","D0186047",Word,1,RO,100,,,,,,,,,,"",
"op2060_alarm9","D0186048",Word,1,RO,100,,,,,,,,,,"",
"op2060_automode_running","D0186018.03",Boolean,1,RO,100,,,,,,,,,,"",
"op2060_automode_selected","D0186018.00",Boolean,1,RO,100,,,,,,,,,,"",
"op2060_break","D0186000.02",Boolean,1,RO,100,,,,,,,,,,"",
"op2060_error_active","D0186018.05",Boolean,1,RO,100,,,,,,,,,,"",
"op2060_loss1","D0186000.04",Boolean,1,RO,100,,,,,,,,,,"",
"op2060_loss2","D0186000.05",Boolean,1,RO,100,,,,,,,,,,"",
"op2060_manualmode_selected","D0186018.01",Boolean,1,RO,100,,,,,,,,,,"",
"op2060_NOK_parts","D0186012",DWord,1,RO,100,,,,,,,,,,"",
"op2060_OK_parts","D0186010",DWord,1,RO,100,,,,,,,,,,"",
"op2060_operation_complete","D0186000.01",Boolean,1,RO,100,,,,,,,,,,"",
"op2060_productionreset","D0186000.00",Boolean,1,RO,100,,,,,,,,,,"",
